school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Gvg,Avgalc,Bum
0,1,18,0,0,0,4,4,4,4,1,1,1,1,0,0,1,0,0,1,1,1,0,4,2,5,3,4,5,2,8.5,3.5,16.0
0,1,17,0,0,0,4,4,0,4,1,0,1,2,0,0,1,0,1,1,1,1,0,4,4,4,1,3,5,0,10.0,2.0,11.0
0,1,19,0,1,0,2,1,4,4,1,0,1,1,0,0,0,0,0,1,1,1,0,5,3,4,1,4,4,10,9.0,2.5,27.0
0,1,16,0,1,0,4,4,2,2,2,0,1,1,0,0,0,1,1,1,1,1,0,5,3,2,1,2,5,4,14.5,1.5,16.0
0,1,15,1,1,0,4,4,4,4,0,1,4,4,0,0,1,0,1,1,1,1,1,1,3,5,3,5,1,8,11.0,4.0,24.0
0,1,18,0,1,0,2,2,4,4,0,0,2,2,3,0,1,1,0,1,1,1,0,3,3,3,5,5,4,9,9.5,5.0,35.5
0,1,18,0,1,0,4,2,1,4,1,1,1,2,0,0,1,0,1,1,1,1,1,5,4,5,1,3,5,4,11.0,2.0,17.0
0,1,17,0,1,0,3,3,4,4,1,1,1,2,0,0,0,0,1,0,1,1,0,4,3,4,1,4,4,4,10.0,2.5,17.0
1,1,19,1,1,0,1,1,4,2,0,2,3,2,1,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8,9.5,3.0,27.0
1,1,17,1,1,0,2,2,4,4,2,0,2,1,0,0,0,0,1,1,0,0,1,5,5,5,3,5,5,0,10.5,4.0,17.0
0,1,15,0,0,0,2,2,2,2,0,0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,2,12.5,2.0,13.0
1,1,17,0,1,0,3,3,2,3,2,0,2,4,1,0,1,1,1,1,1,0,0,5,4,5,3,4,5,0,10.5,3.5,14.0
1,1,17,0,0,0,4,4,4,2,0,0,1,3,0,0,1,0,0,1,1,1,0,4,4,3,1,2,5,0,14.5,1.5,9.0
0,1,15,0,1,0,2,2,2,2,2,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,9.5,1.0,10.0
1,1,18,1,1,0,2,1,4,4,3,0,2,1,0,0,0,0,1,0,1,1,1,4,4,3,1,3,5,0,7.0,2.0,12.0
1,1,17,1,1,0,1,1,4,2,3,1,3,1,0,0,0,0,0,0,0,0,0,4,2,3,3,4,4,4,12.5,3.5,19.0
0,1,16,0,0,0,4,3,2,4,1,0,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12.0,1.5,19.0
1,1,16,0,0,0,4,4,0,1,3,1,1,1,0,0,1,0,0,1,1,1,0,4,1,2,2,5,5,0,11.5,3.5,12.0
0,1,17,0,1,0,3,3,2,2,3,0,1,2,0,0,1,0,1,1,1,1,1,4,3,4,2,3,4,6,12.0,2.5,20.0
1,1,17,1,1,0,2,1,4,4,3,0,3,1,0,0,0,0,1,1,0,0,1,5,5,5,5,5,3,8,9.0,5.0,31.0
1,1,15,1,0,0,4,1,1,2,1,1,1,2,0,0,1,0,1,1,1,1,0,5,3,4,1,2,2,7,8.0,1.5,19.5
0,1,16,0,1,0,4,3,0,4,0,0,1,2,0,0,1,1,1,1,1,1,0,3,4,3,2,3,3,4,10.5,2.5,18.0
0,1,15,0,1,0,4,3,0,4,0,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,3,5,0,11.0,2.5,11.0
0,1,16,0,1,0,4,4,1,4,2,0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,4,12.5,2.5,19.0
0,1,18,0,1,0,4,3,0,4,2,0,1,3,0,0,1,0,0,1,1,1,1,5,4,5,2,3,5,0,13.5,2.5,11.0
0,1,17,1,1,0,2,2,2,4,2,0,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,2,10.5,5.0,21.0
0,1,16,0,0,0,4,2,0,4,2,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12.5,2.0,12.0
1,1,18,1,1,0,4,2,4,4,0,1,2,1,1,0,0,1,0,1,1,0,0,5,4,3,4,3,3,0,7.0,3.5,17.0
1,1,17,0,1,0,1,1,3,2,3,0,3,2,0,0,0,0,0,1,1,1,1,5,1,3,3,3,1,0,10.0,3.0,10.0
0,1,16,0,1,0,4,3,1,2,1,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,2,17.0,1.0,8.0
0,1,18,0,1,0,4,4,4,4,2,0,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,0,13.5,2.0,9.0
0,1,15,0,0,0,4,4,1,2,2,1,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12.5,2.0,11.0
0,1,17,0,1,0,4,4,0,0,2,0,1,1,0,0,1,0,1,0,1,1,0,4,2,1,1,2,5,6,9.0,1.5,18.0
0,1,15,0,1,1,4,4,4,2,1,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,0,11.5,5.0,14.0
0,1,18,0,1,0,4,2,0,4,0,0,1,2,0,0,1,0,1,1,1,1,1,4,3,2,1,4,5,2,15.5,2.5,14.0
1,1,15,0,0,0,3,3,3,3,1,1,1,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,0,11.0,1.0,8.0
0,1,17,0,0,0,1,1,1,4,2,0,2,1,1,0,1,0,1,1,1,1,0,4,4,4,1,2,5,0,9.5,1.5,13.0
0,1,15,0,1,0,3,4,2,2,0,1,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,2,9.0,2.5,17.0
0,1,18,0,1,0,2,1,2,2,3,0,1,1,2,0,0,0,0,0,0,1,0,3,2,5,2,5,5,4,7.5,3.5,23.0
0,1,17,1,1,0,1,1,4,4,0,1,2,3,0,0,0,0,0,0,1,1,1,4,3,3,1,1,1,2,13.5,1.0,10.0
1,1,18,0,0,0,1,3,3,2,2,0,1,1,0,0,0,0,0,1,0,1,1,4,3,3,2,3,3,0,9.5,2.5,12.0
1,1,17,0,1,0,1,2,4,4,2,1,1,1,1,0,1,0,1,1,0,1,1,5,3,5,5,5,1,12,6.5,5.0,37.0
0,1,15,0,1,0,4,3,0,2,2,1,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,6,10.0,1.0,14.0
1,1,17,1,1,0,2,2,4,4,2,0,3,1,1,0,1,0,0,0,1,1,0,4,4,5,1,2,5,0,9.5,1.5,13.0
0,1,16,0,1,0,2,3,4,4,2,0,2,3,0,0,1,0,0,0,1,1,1,3,2,3,2,2,1,4,12.5,2.0,14.0
0,1,15,0,0,0,2,2,2,1,1,0,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,2,11.5,1.0,9.0
0,1,18,1,1,0,4,3,0,2,2,0,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,4,14.5,1.5,14.0
0,1,18,0,1,0,2,1,2,2,1,0,1,3,0,0,0,0,1,1,1,1,0,4,2,4,1,3,2,0,14.5,2.0,8.0
0,1,15,0,1,0,2,3,4,4,0,0,1,3,0,1,0,0,0,0,1,1,0,5,3,2,1,2,5,2,9.5,1.5,11.0
0,1,18,0,1,0,2,2,4,2,1,1,1,2,0,0,0,0,0,1,0,1,0,5,5,4,3,5,2,16,7.5,4.0,40.0
0,1,17,0,0,1,4,1,2,4,0,0,2,1,0,0,0,0,1,1,1,1,1,4,5,4,2,4,5,22,11.0,3.0,48.0
0,1,16,1,1,1,4,4,4,0,1,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,4,13.0,1.0,14.0
1,1,18,1,1,0,1,1,4,4,0,0,2,1,1,0,0,0,1,1,0,1,0,4,4,3,3,4,4,0,8.5,3.5,17.0
1,1,16,0,1,0,4,4,4,0,2,1,1,2,0,0,1,0,1,1,1,0,1,4,3,1,1,1,3,0,12.5,1.0,8.0
0,1,16,1,1,0,2,2,3,4,2,0,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,4,11.0,1.5,15.0
0,1,15,0,1,0,2,3,4,2,2,1,1,1,0,1,1,0,1,0,1,1,1,3,2,2,1,3,3,0,11.0,2.0,10.0
1,1,17,0,1,0,3,2,4,4,3,1,2,2,0,0,1,1,0,1,1,1,0,4,1,2,2,2,1,0,13.5,2.0,8.0
0,1,16,0,1,0,4,4,2,0,3,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16.0,1.0,8.0
0,1,17,0,0,0,4,3,0,4,2,0,2,2,0,0,0,0,1,1,1,1,0,4,4,4,4,4,4,0,10.5,4.0,15.0
1,1,19,0,1,0,1,1,4,4,3,0,1,2,2,0,1,0,1,1,0,1,0,4,4,3,3,4,4,2,9.0,3.5,21.0
0,1,18,0,0,0,4,4,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,4,2,2,2,1,0,18.0,2.0,12.0
0,1,16,0,0,1,4,4,0,1,1,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,6,9.0,4.0,21.0
0,1,17,0,1,0,2,2,4,4,0,1,2,1,0,0,0,0,0,1,0,1,0,4,4,4,2,3,4,8,8.0,2.5,25.0
1,1,16,0,1,1,1,2,4,4,3,0,1,3,0,1,0,0,0,1,1,1,0,4,4,3,1,1,5,0,10.5,1.0,8.0
0,1,15,0,1,0,3,4,4,4,0,0,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12.0,1.0,10.0
0,1,16,1,1,0,3,3,2,2,1,0,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,0,10.5,3.5,14.0
0,1,15,0,0,0,4,2,0,4,2,0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,17.5,1.0,26.0
0,1,18,0,1,0,3,2,2,4,2,0,2,1,0,0,0,0,0,1,0,1,0,4,4,5,2,4,5,8,7.5,3.0,26.0
1,1,19,1,1,0,1,1,4,4,0,2,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4,8.5,3.0,22.0
1,1,16,1,1,0,2,1,4,2,1,0,2,2,0,0,0,0,1,1,1,1,0,5,2,1,1,1,2,0,7.5,1.0,7.0
1,1,17,1,1,0,4,3,2,4,0,0,2,2,1,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4,10.5,2.0,20.0
0,1,15,0,1,1,3,4,2,4,2,0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,1,1,0,16.0,1.0,9.0
0,1,19,1,0,0,2,1,3,2,2,0,2,3,1,0,0,0,1,1,1,1,1,4,3,1,1,1,5,0,9.5,1.0,9.0
0,1,17,1,0,0,1,2,4,4,1,0,1,1,3,0,0,0,0,1,1,0,0,2,2,2,3,3,5,14,8.5,3.0,39.0
0,1,15,0,1,0,4,2,4,4,2,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10.0,1.0,6.0
1,1,17,0,1,0,3,4,2,4,3,0,1,2,1,0,1,0,1,0,1,1,1,5,4,4,3,4,5,8,8.5,3.5,28.0
0,1,17,0,1,0,3,2,2,2,2,0,1,1,3,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8.0,3.0,24.0
0,1,18,0,0,0,2,2,4,4,2,0,1,4,0,0,1,1,1,1,1,1,0,4,5,5,2,4,5,0,11.0,3.0,12.0
1,1,15,0,1,0,3,1,4,2,0,0,2,1,0,0,1,0,0,1,1,0,0,3,2,3,1,3,4,0,9.5,2.0,10.0
1,1,17,0,0,1,1,0,4,4,0,0,1,1,0,0,0,0,0,1,1,0,1,4,1,2,1,1,5,4,11.0,1.0,13.0
0,1,18,0,1,0,2,2,2,4,0,0,1,2,0,0,1,0,1,1,1,1,0,4,4,4,2,4,5,10,11.5,3.0,28.0
0,1,16,0,1,0,3,4,4,4,2,1,3,1,1,0,1,0,1,0,1,1,0,3,4,5,2,4,2,4,9.0,3.0,22.0
0,1,16,0,0,0,1,2,1,2,2,0,2,1,2,0,0,0,0,0,1,1,0,4,4,5,3,5,5,0,8.5,4.0,20.0
1,1,20,1,1,0,1,1,4,4,2,2,2,1,1,0,1,0,0,1,0,1,1,4,4,3,2,4,4,12,9.5,3.0,34.0
1,1,18,0,0,0,4,4,2,4,1,0,1,1,0,0,1,0,1,1,1,1,0,5,4,5,1,1,5,3,17.0,1.0,14.5
0,1,17,0,1,0,3,2,2,2,2,0,2,1,3,0,1,0,1,0,0,0,0,4,5,2,1,1,2,10,7.5,1.0,32.0
0,1,16,0,0,0,4,3,1,4,0,1,1,1,0,0,0,0,1,1,1,1,0,3,1,3,1,3,5,6,12.0,2.0,18.0
0,1,15,0,1,0,2,2,4,4,0,0,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11.5,1.5,21.0
0,1,15,0,1,0,3,4,4,4,1,1,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,2,13.5,1.5,14.0
1,1,17,0,1,0,2,2,4,4,2,0,1,1,1,0,0,0,1,1,1,0,1,1,2,1,2,3,5,0,3.5,2.5,13.0
0,1,18,1,0,0,3,3,4,2,2,0,1,2,0,0,1,0,0,1,1,1,1,4,3,3,1,3,5,8,9.5,2.0,22.0
0,1,15,0,1,0,4,4,1,2,0,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10.5,3.5,14.0
0,1,19,0,1,0,4,2,1,4,2,0,2,2,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,9,10.5,1.0,22.5
0,1,16,0,0,0,2,2,2,2,1,1,2,1,0,0,1,0,1,1,1,1,0,2,3,3,2,2,2,4,11.5,2.0,17.0
1,1,18,0,1,0,3,3,3,3,2,0,1,2,2,0,1,0,1,1,0,1,0,4,4,5,1,3,3,9,6.0,2.0,28.5
0,1,16,0,1,0,3,3,3,4,1,2,3,2,1,1,1,0,0,0,1,1,0,5,3,3,1,3,2,4,10.0,2.0,18.0
1,1,17,1,1,0,4,4,1,4,2,1,3,1,3,0,0,0,1,1,1,1,1,3,3,3,1,3,5,2,9.0,2.0,20.0
1,1,18,1,1,0,4,4,3,2,3,0,3,1,0,0,1,1,1,1,1,1,1,2,5,5,1,1,1,5,12.5,1.0,18.5
0,1,16,1,1,0,4,4,0,0,2,0,1,1,0,0,0,0,1,1,1,1,0,3,5,5,2,5,4,8,14.0,3.5,28.0
0,1,15,1,1,0,2,1,1,2,1,0,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,4,9.5,1.0,15.0
0,1,17,0,1,0,4,4,2,0,0,0,1,1,0,0,0,0,0,1,1,1,0,5,2,3,1,2,5,4,13.0,1.5,15.0
0,1,16,0,1,0,3,3,2,4,0,1,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,4,13.5,1.0,13.0
1,1,16,1,0,0,4,1,4,3,3,1,1,1,0,0,0,0,0,1,1,1,0,4,1,2,2,1,2,0,10.5,1.5,8.0
0,1,18,0,1,0,4,4,0,2,0,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0,12.0,2.0,10.0
1,1,16,0,0,1,2,2,4,2,2,1,2,2,0,0,1,0,0,0,1,1,1,4,1,2,2,2,5,0,12.5,2.0,8.0
1,1,15,1,0,0,4,1,1,2,1,1,1,2,0,0,1,0,1,1,1,1,0,5,3,4,1,2,2,0,12.5,1.5,9.0
0,1,15,0,1,0,4,2,1,2,3,0,1,1,0,0,0,0,0,1,1,1,0,2,2,4,2,4,1,0,11.0,3.0,12.0
1,1,16,0,0,0,4,3,4,4,2,1,1,1,0,0,0,0,1,1,1,1,0,4,2,5,1,5,5,8,13.0,3.0,24.0
1,1,16,1,1,0,2,2,2,2,2,0,2,1,0,0,1,0,1,1,1,1,1,5,4,3,2,4,4,6,7.5,3.0,23.0
1,1,15,0,0,1,2,2,4,4,1,0,3,4,0,0,1,0,1,1,1,0,0,5,4,5,2,3,5,8,13.5,2.5,22.0
0,1,17,0,1,0,3,3,4,2,1,0,1,1,0,0,0,0,1,0,1,1,0,4,3,5,3,5,5,0,17.5,4.0,15.0
0,1,17,1,1,0,1,3,4,4,2,1,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,14,11.5,2.5,33.0
1,1,15,1,1,0,1,2,4,2,2,0,3,2,0,0,1,0,1,1,1,0,0,5,5,5,1,3,5,11,10.0,2.0,28.5
0,1,15,0,1,0,4,4,2,4,2,0,1,1,0,0,1,1,1,0,1,1,0,5,3,3,1,1,5,2,12.5,1.0,12.0
0,1,17,1,0,0,1,1,4,2,2,0,4,2,0,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0,8.0,3.0,12.0
1,1,17,0,1,0,3,3,1,4,2,0,2,2,1,0,1,0,0,1,1,1,0,4,5,4,2,3,3,4,8.5,2.5,21.0
0,1,16,0,1,0,3,2,4,4,0,0,1,1,0,0,1,0,0,0,1,1,0,5,4,3,1,1,5,4,12.0,1.0,16.0
0,1,16,0,1,0,3,3,4,2,0,1,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,6,14.0,1.0,19.0
1,1,15,0,1,0,3,3,2,2,2,1,2,1,0,0,1,0,1,0,1,1,0,4,3,3,2,4,3,11,11.0,3.0,29.5
0,1,17,0,1,0,3,3,1,4,0,0,1,1,0,0,1,0,0,1,1,1,0,4,4,3,1,3,5,0,14.5,2.0,12.0
1,1,17,0,1,0,2,3,4,2,0,1,2,2,0,0,0,0,1,1,1,1,0,4,4,3,1,1,3,4,14.5,1.0,15.0
1,1,16,0,1,0,1,1,3,2,0,0,2,2,0,0,1,0,1,1,1,0,1,5,4,5,4,5,3,0,3.5,4.5,16.0
1,1,16,1,1,0,3,4,4,1,3,0,3,2,0,0,0,0,0,0,1,0,0,3,4,5,1,2,5,4,9.5,1.5,16.0
0,1,16,0,1,0,2,1,4,4,2,0,3,1,0,0,0,0,0,1,1,1,0,4,3,3,1,1,4,7,15.5,1.0,19.5
0,1,15,0,1,0,4,0,0,4,2,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,0,11.5,1.0,7.0
0,1,18,0,0,1,4,4,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,5,4,3,1,1,2,0,17.0,1.0,9.0
1,1,16,1,1,0,3,2,2,4,2,1,2,1,0,0,0,0,0,1,1,1,0,4,5,5,2,3,5,2,10.0,2.5,17.0
1,1,18,0,0,0,4,4,0,2,3,0,2,3,0,0,0,0,0,1,1,1,1,4,2,2,2,2,5,0,15.5,2.0,8.0
0,1,16,0,0,0,2,2,4,4,0,0,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,12.5,1.0,9.0
0,1,15,0,0,1,4,4,0,0,2,0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,4,13.5,1.0,17.0
0,1,17,1,1,0,1,2,3,3,0,0,1,2,0,0,1,0,1,0,1,0,1,3,5,2,2,2,1,2,16.5,2.0,15.0
0,1,17,0,1,0,2,3,4,4,2,1,2,1,0,0,0,0,0,1,1,1,0,5,2,2,1,1,2,2,10.5,1.0,11.0
0,1,18,0,0,0,4,3,0,2,2,0,2,1,0,0,0,0,1,1,1,1,0,4,2,3,1,2,1,0,10.0,1.5,9.0
0,1,17,1,1,0,1,2,3,4,0,0,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,6,9.0,3.0,19.0
0,1,16,0,1,0,3,3,2,4,0,0,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,3,0,11.5,1.5,8.0
0,1,17,0,1,0,4,4,0,0,1,0,1,2,0,1,1,0,1,1,1,1,1,4,5,5,1,3,2,0,13.0,2.0,12.0
0,1,16,0,1,0,1,3,3,2,2,1,1,1,1,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2,8.5,2.5,17.0
1,1,17,0,1,0,3,3,2,2,0,0,1,1,0,0,1,0,1,1,1,1,0,4,1,4,5,5,3,8,8.5,5.0,27.0
0,1,18,0,1,0,2,2,4,3,2,2,1,1,1,0,1,0,1,0,0,1,1,4,4,3,2,2,1,26,7.5,2.0,53.0
1,1,18,1,0,0,3,2,2,4,2,0,3,1,0,0,0,0,0,0,1,1,0,4,4,1,3,4,5,4,10.5,3.5,21.0
0,1,15,0,0,0,3,3,4,4,2,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,12.5,1.0,8.0
1,1,17,0,1,0,1,1,4,4,0,0,1,2,0,0,0,1,0,0,1,1,0,4,4,3,2,4,5,4,8.5,3.0,19.0
0,1,16,0,1,0,4,4,2,2,2,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,5,0,14.0,2.0,9.0
0,1,16,0,1,0,2,3,4,4,0,1,2,1,0,0,0,0,0,1,1,1,0,5,3,3,1,1,3,0,12.5,1.0,9.0
0,1,16,0,0,0,2,1,4,4,2,0,1,2,0,0,0,0,1,1,1,1,1,4,2,3,1,2,5,0,13.5,1.5,8.0
