school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
'GP','m',0.0,'U','LE3','T',1.0,1.0,'teacher','other','home','other',0.0,0.0,0.0,'no','yes','no','no','no','yes','yes','yes',1.0,0.75,0.5,0.5,0.75,1.0,0.4,12,12,12
'GP','m',0.0,'U','GT3','T',1.0,1.0,'services','teacher','course','father',0.0,0.5,0.0,'no','yes','no','yes','yes','yes','yes','no',0.75,0.5,0.5,0.0,0.0,1.0,0.1,19,18,18
'GP','m',0.0,'U','GT3','T',0.5,0.5,'services','services','course','father',0.0,0.0,0.0,'yes','yes','no','no','yes','yes','yes','no',1.0,0.75,0.0,0.0,0.0,0.0,0.0,8,8,11
'GP','m',0.0,'U','GT3','T',1.0,0.5,'teacher','other','home','mother',0.0,0.5,0.0,'no','yes','yes','no','yes','yes','no','no',0.75,0.5,0.5,0.5,0.25,1.0,0.1,15,15,14
'GP','m',0.0,'U','GT3','T',1.0,1.0,'teacher','health','reputation','mother',0.0,0.5,0.0,'no','yes','no','yes','yes','yes','no','no',0.5,0.25,0.25,0.0,0.0,1.0,0.2,14,15,15
'GP','m',0.0,'U','LE3','T',0.25,0.5,'other','at_home','home','father',0.0,0.5,0.0,'yes','yes','no','yes','yes','yes','yes','no',0.75,0.5,0.25,0.0,0.0,1.0,0.1,9,10,9
'GP','m',0.20000000000000018,'U','GT3','T',0.75,0.25,'other','other','reputation','mother',0.0,0.0,0.0,'no','no','no','yes','yes','yes','no','no',1.0,0.5,0.25,0.5,0.25,1.0,0.1,12,12,14
'GP','m',0.0,'U','GT3','T',1.0,0.75,'teacher','other','home','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.75,0.5,0.5,0.5,0.5,1.0,0.30000000000000004,9,9,10
'GP','m',0.0,'U','GT3','T',0.5,0.75,'other','services','course','father',0.0,0.0,0.0,'yes','yes','yes','yes','no','yes','yes','yes',0.5,0.25,0.25,0.0,0.5,0.5,0.1,10,12,12
'GP','m',0.0,'U','GT3','T',0.5,0.75,'other','other','home','mother',0.0,1.0,0.0,'yes','no','yes','no','no','yes','yes','no',1.0,0.5,0.25,0.0,0.25,1.0,0.2,11,10,11
'GP','m',0.0,'U','LE3','T',0.5,0.5,'services','services','home','mother',0.3333333333333333,0.5,0.0,'no','no','yes','yes','yes','yes','yes','no',1.0,0.5,0.5,0.0,0.5,0.75,0.2,15,15,15
'GP','m',0.20000000000000018,'U','LE3','A',1.0,1.0,'teacher','health','reputation','mother',0.0,0.5,0.0,'no','yes','no','no','yes','yes','no','no',0.75,0.0,0.5,1.0,1.0,1.0,0.9,8,6,7
'GP','m',0.20000000000000018,'R','GT3','T',1.0,0.75,'services','other','reputation','mother',0.3333333333333333,0.0,0.0,'yes','yes','no','yes','no','yes','yes','no',0.5,0.5,0.5,0.0,0.0,0.75,0.1,11,15,15
'GP','m',0.20000000000000018,'U','GT3','T',1.0,1.0,'services','teacher','other','father',0.0,1.0,0.0,'no','yes','no','yes','yes','yes','yes','yes',0.75,0.75,0.5,0.0,0.0,0.75,0.0,16,17,17
'GP','m',0.0,'U','GT3','T',1.0,1.0,'services','other','course','mother',0.0,0.0,0.0,'no','yes','no','yes','no','yes','yes','no',1.0,0.5,0.5,0.0,0.0,1.0,0.2,10,13,14
'GP','m',0.0,'U','GT3','A',0.75,1.0,'services','other','course','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',1.0,0.75,0.75,0.0,0.0,0.0,0.0,16,18,18
'GP','m',0.20000000000000018,'U','GT3','T',0.75,0.75,'services','other','home','father',0.0,1.0,0.0,'no','yes','no','yes','yes','yes','yes','no',1.0,0.5,0.5,0.0,0.0,1.0,0.1,16,18,18
'GP','m',0.0,'U','LE3','A',1.0,1.0,'teacher','teacher','course','mother',0.0,0.0,0.0,'no','no','no','yes','yes','yes','yes','no',1.0,1.0,0.5,0.0,0.0,0.75,0.30000000000000004,18,19,19
'GP','m',0.0,'U','LE3','T',1.0,0.5,'teacher','other','course','mother',0.0,0.0,0.0,'no','no','no','no','yes','yes','yes','no',0.5,1.0,0.25,0.0,0.0,0.5,0.5,18,19,19
'GP','m',0.0,'R','GT3','T',0.5,0.25,'health','services','reputation','mother',0.0,0.5,0.0,'no','no','no','yes','yes','yes','yes','yes',1.0,0.75,0.25,0.0,0.0,1.0,0.4,9,9,9
'GP','m',0.20000000000000018,'U','GT3','T',1.0,1.0,'teacher','teacher','course','father',0.0,0.5,0.0,'no','yes','no','yes','yes','yes','yes','no',1.0,0.75,0.75,0.0,0.25,1.0,0.1,15,15,16
'GP','m',0.0,'U','GT3','T',1.0,1.0,'other','teacher','reputation','father',0.3333333333333333,0.5,0.0,'no','yes','no','yes','yes','yes','no','no',0.75,0.75,0.5,0.0,0.0,0.25,0.1,11,13,14
'GP','m',0.20000000000000018,'U','GT3','T',0.75,0.75,'other','services','home','father',0.3333333333333333,0.0,0.0,'no','no','no','yes','yes','yes','yes','no',1.0,0.75,0.25,0.0,0.0,1.0,0.0,13,14,13
'GP','m',0.0,'U','GT3','T',0.75,1.0,'other','other','reputation','father',0.0,0.0,0.0,'no','no','no','no','yes','yes','yes','no',0.5,0.75,0.5,0.0,0.25,0.75,0.30000000000000004,14,13,13
'GP','m',0.20000000000000018,'U','GT3','T',1.0,1.0,'health','other','course','mother',0.0,0.0,0.0,'no','yes','no','yes','yes','yes','yes','no',0.5,0.75,0.75,0.0,0.75,1.0,0.9,14,11,13
'GP','m',0.0,'U','GT3','T',0.75,1.0,'services','services','home','father',0.0,0.0,0.0,'yes','no','no','no','yes','yes','yes','no',1.0,1.0,1.0,1.0,0.25,1.0,0.0,13,13,12
'GP','m',0.20000000000000018,'R','GT3','T',1.0,1.0,'teacher','teacher','course','mother',0.0,0.0,0.0,'no','no','yes','yes','yes','yes','yes','no',0.5,1.0,1.0,0.5,1.0,0.75,0.4,18,18,18
'GP','m',0.0,'R','GT3','T',0.5,0.75,'at_home','services','course','mother',0.0,0.5,0.0,'yes','no','yes','yes','yes','yes','no','no',0.75,0.75,0.75,0.0,0.0,0.0,0.1,11,8,8
'GP','m',0.40000000000000036,'R','LE3','T',0.25,0.5,'other','other','reputation','mother',0.0,0.0,0.0,'no','no','no','no','yes','yes','no','no',0.25,0.25,0.25,1.0,0.5,1.0,0.4,16,12,13
'GP','m',0.20000000000000018,'R','GT3','T',0.5,0.5,'at_home','other','course','mother',0.6666666666666667,0.0,0.0,'no','no','no','no','no','yes','no','no',0.75,0.25,0.25,0.0,0.25,0.5,0.1,17,15,15
'GP','m',0.40000000000000036,'U','GT3','T',0.25,0.75,'at_home','services','course','father',0.0,0.0,0.0,'no','no','no','no','yes','no','yes','no',1.0,0.5,0.5,0.0,0.75,0.25,0.1,10,10,10
'GP','m',0.20000000000000018,'U','GT3','T',0.5,0.5,'other','other','course','father',0.0,0.5,0.0,'no','no','no','no','yes','no','yes','no',0.75,0.5,1.0,0.5,0.75,0.75,0.2,10,10,10
'GP','m',0.20000000000000018,'U','GT3','T',0.25,0.0,'other','other','reputation','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','yes',0.75,0.5,0.25,0.0,0.0,0.5,0.1,13,15,16
'GP','m',0.40000000000000036,'U','LE3','T',1.0,1.0,'teacher','other','reputation','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.75,0.75,0.75,0.0,0.5,1.0,0.0,13,11,10
'GP','m',0.40000000000000036,'U','GT3','T',0.75,0.75,'other','other','reputation','father',0.0,0.5,0.0,'no','no','no','yes','no','yes','yes','no',0.75,0.5,0.75,0.0,0.75,0.75,0.2,6,5,6
'GP','m',0.20000000000000018,'R','GT3','T',1.0,0.5,'teacher','services','other','mother',0.0,0.0,0.0,'no','yes','no','yes','yes','yes','yes','yes',0.75,0.5,0.5,1.0,0.75,0.5,0.5,10,8,9
'GP','m',0.40000000000000036,'U','GT3','T',1.0,0.75,'other','other','course','mother',0.0,0.5,0.0,'no','yes','no','yes','yes','yes','yes','yes',1.0,0.25,0.5,0.0,0.0,0.25,0.2,10,10,11
'GP','m',0.20000000000000018,'U','GT3','T',1.0,0.75,'teacher','other','home','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.5,0.75,0.5,0.5,0.5,0.5,0.5,9,8,8
'GP','m',0.20000000000000018,'U','GT3','T',0.75,0.75,'services','other','home','mother',0.0,0.5,0.0,'no','no','yes','yes','yes','yes','yes','yes',0.75,0.25,0.5,0.0,0.25,0.5,0.1,12,13,12
'GP','m',0.40000000000000036,'U','GT3','T',0.75,0.75,'services','services','other','mother',0.0,0.5,0.0,'no','yes','no','yes','yes','yes','yes','yes',0.75,0.5,0.75,0.5,0.5,0.75,0.6000000000000001,12,12,11
'GP','m',0.20000000000000018,'U','GT3','T',0.25,0.5,'services','services','other','mother',0.0,0.0,0.0,'no','yes','yes','yes','yes','yes','yes','yes',0.5,0.5,0.5,0.0,0.25,0.5,0.1,11,12,11
'GP','m',0.20000000000000018,'U','LE3','T',0.5,0.25,'other','other','course','mother',0.0,0.5,0.0,'no','no','yes','yes','yes','yes','yes','yes',0.75,0.25,0.5,0.0,0.25,1.0,0.0,15,15,15
'GP','m',0.40000000000000036,'R','GT3','T',0.25,0.5,'at_home','other','home','mother',0.0,0.5,0.0,'no','no','no','no','yes','yes','no','no',0.5,0.0,0.5,0.0,1.0,0.5,0.2,8,9,10
'GP','m',0.20000000000000018,'R','GT3','T',0.75,0.75,'services','services','reputation','mother',0.0,0.0,0.0,'no','yes','no','yes','yes','yes','yes','no',0.75,0.5,0.25,1.0,0.75,1.0,0.4,8,9,10
'GP','m',0.20000000000000018,'U','GT3','T',0.5,0.75,'other','other','home','father',0.3333333333333333,0.0,0.0,'no','no','no','no','yes','yes','yes','no',1.0,0.5,0.5,0.0,0.0,0.5,0.0,13,14,14
'GP','m',0.40000000000000036,'U','GT3','T',1.0,1.0,'services','teacher','home','mother',0.0,0.0,0.0,'no','no','no','no','yes','yes','yes','no',1.0,0.25,0.5,0.0,0.25,1.0,0.2,17,15,16
'GP','m',0.20000000000000018,'R','LE3','T',0.75,0.75,'teacher','other','home','father',0.6666666666666667,0.0,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.5,0.5,0.75,1.0,1.0,0.5,0.4,9,9,10
'GP','m',0.40000000000000036,'U','LE3','T',0.5,0.75,'services','services','reputation','father',0.0,0.5,0.0,'no','yes','yes','no','no','yes','yes','no',1.0,0.5,0.5,0.0,0.5,0.5,0.1,12,11,12
'GP','m',0.40000000000000036,'R','GT3','T',0.5,0.5,'other','other','course','father',0.3333333333333333,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.75,1.0,0.25,0.0,0.0,0.0,0.2,11,11,11
'GP','m',0.40000000000000036,'U','GT3','T',1.0,1.0,'teacher','teacher','reputation','mother',0.0,0.5,0.0,'yes','yes','no','yes','yes','yes','yes','yes',0.75,1.0,1.0,0.0,0.5,0.25,0.7000000000000001,11,9,9
'GP','m',0.20000000000000018,'U','GT3','T',1.0,1.0,'health','other','reputation','father',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.75,0.25,0.75,0.5,0.75,0.0,0.1,14,13,13
'GP','m',0.20000000000000018,'U','LE3','T',0.25,0.25,'other','other','home','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','no','yes','yes','yes','no',0.5,0.75,0.25,0.0,0.0,1.0,0.9,9,7,6
'GP','m',0.20000000000000018,'U','GT3','T',0.75,0.5,'at_home','other','reputation','mother',0.3333333333333333,1.0,0.0,'no','no','no','yes','yes','yes','yes','yes',1.0,0.5,0.5,0.0,0.5,0.25,0.5,11,9,10
'GP','m',0.40000000000000036,'U','LE3','T',1.0,0.75,'health','other','course','mother',0.3333333333333333,0.5,0.0,'no','no','no','yes','yes','yes','yes','yes',0.25,1.0,1.0,0.0,0.75,1.0,0.7000000000000001,12,12,12
'GP','m',0.40000000000000036,'R','LE3','A',1.0,1.0,'teacher','other','course','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','no','yes','yes','yes','no',0.5,0.5,0.5,0.5,0.5,0.75,0.1,10,11,12
'GP','m',0.20000000000000018,'U','GT3','T',1.0,1.0,'services','services','course','mother',0.0,0.0,0.0,'no','no','no','yes','yes','yes','yes','no',1.0,0.5,0.25,0.0,0.25,1.0,0.0,13,12,12
'GP','m',0.20000000000000018,'U','GT3','T',0.5,0.25,'other','other','course','mother',0.6666666666666667,0.0,0.0,'no','no','no','no','yes','yes','yes','no',0.75,0.5,0.5,0.0,0.0,0.75,0.30000000000000004,18,18,18
'GP','m',0.40000000000000036,'U','GT3','T',0.5,0.75,'other','other','course','father',0.3333333333333333,0.0,0.0,'no','no','no','no','yes','yes','yes','no',1.0,0.25,0.25,0.0,0.0,0.25,0.2,12,12,13
'GP','m',0.20000000000000018,'U','GT3','T',0.0,0.5,'other','other','other','mother',0.0,0.0,0.0,'no','no','yes','no','no','yes','yes','no',0.75,0.5,0.25,0.5,0.75,1.0,0.0,13,15,15
'GP','m',0.20000000000000018,'U','GT3','T',0.75,0.75,'at_home','other','reputation','other',0.6666666666666667,0.5,0.0,'yes','yes','no','no','no','yes','yes','no',1.0,0.5,0.5,0.0,0.5,0.25,0.30000000000000004,7,10,10
'GP','m',0.20000000000000018,'R','GT3','T',0.5,0.25,'other','other','course','mother',0.3333333333333333,0.0,0.0,'no','no','no','yes','no','yes','no','no',0.5,0.5,0.25,0.0,0.5,0.5,0.0,8,9,8
'GP','m',0.40000000000000036,'R','GT3','T',0.5,0.25,'other','other','course','mother',0.0,0.0,0.0,'no','no','no','no','no','yes','yes','no',0.75,0.75,0.25,0.5,0.75,1.0,0.0,8,12,12
'GP','m',0.8000000000000003,'U','LE3','A',1.0,0.75,'services','at_home','reputation','mother',0.0,0.5,0.0,'no','yes','no','no','yes','yes','yes','no',0.75,0.5,0.0,0.0,0.0,0.0,0.6000000000000001,11,11,11
'GP','m',0.6000000000000001,'U','GT3','T',0.5,0.25,'other','other','home','mother',0.0,0.5,0.0,'no','no','no','yes','yes','yes','yes','no',1.0,0.25,0.75,0.0,0.25,0.75,0.4,15,14,14
'GP','m',0.6000000000000001,'U','GT3','T',1.0,0.75,'teacher','other','course','mother',0.0,0.5,0.0,'no','yes','yes','no','no','yes','yes','no',0.75,0.5,0.25,0.0,0.0,0.5,0.1,8,8,8
'GP','m',0.6000000000000001,'R','GT3','T',0.75,0.5,'other','other','course','mother',0.0,1.0,0.0,'no','no','no','yes','no','yes','no','no',1.0,0.5,0.25,0.0,0.0,0.5,0.05,13,12,12
'GP','m',0.6000000000000001,'R','LE3','A',0.75,1.0,'other','other','reputation','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',0.75,0.25,1.0,1.0,0.75,0.0,0.65,17,17,17
'GP','m',0.40000000000000036,'U','GT3','T',0.75,0.25,'services','other','other','mother',0.0,0.5,0.0,'no','no','yes','yes','yes','yes','yes','yes',1.0,0.75,0.75,1.0,0.75,1.0,0.1,9,9,10
'GP','m',0.6000000000000001,'U','GT3','T',1.0,0.5,'health','other','reputation','father',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','yes',1.0,0.75,1.0,0.0,0.5,1.0,0.5,10,9,10
'GP','m',0.40000000000000036,'R','GT3','T',0.25,0.5,'at_home','at_home','home','mother',0.0,0.5,0.0,'no','yes','yes','yes','no','yes','no','yes',0.5,1.0,0.25,0.5,0.25,0.0,0.1,15,14,14
'GP','m',0.6000000000000001,'U','LE3','T',1.0,0.75,'teacher','services','course','mother',0.3333333333333333,0.0,0.0,'no','no','yes','yes','yes','yes','yes','no',0.75,0.25,0.5,0.0,0.25,0.0,0.4,10,11,10
'GP','m',0.40000000000000036,'U','GT3','T',0.25,0.25,'other','other','reputation','father',0.0,0.5,0.0,'no','no','yes','no','no','yes','yes','no',0.75,0.5,0.5,0.0,0.25,0.75,0.1,12,10,11
'GP','m',0.6000000000000001,'U','GT3','T',0.5,0.25,'services','services','reputation','mother',0.0,1.0,0.0,'no','no','yes','yes','yes','yes','yes','no',0.75,0.25,0.75,0.0,0.5,0.25,0.30000000000000004,15,14,14
'GP','m',0.6000000000000001,'U','LE3','A',1.0,1.0,'teacher','teacher','reputation','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','no',1.0,0.75,0.5,0.0,0.0,0.25,0.45,15,13,15
'GP','m',0.6000000000000001,'U','GT3','T',1.0,0.5,'teacher','other','home','mother',0.0,0.5,0.0,'no','yes','yes','yes','yes','yes','yes','yes',0.75,0.5,0.25,0.0,0.75,1.0,0.55,12,11,11
'GP','m',0.6000000000000001,'R','LE3','T',0.75,0.5,'services','other','reputation','mother',0.3333333333333333,1.0,0.0,'no','yes','yes','yes','yes','yes','yes','no',1.0,0.75,0.25,0.0,0.0,0.75,0.4,14,13,14
'GP','m',0.40000000000000036,'U','GT3','T',0.75,0.75,'health','other','home','mother',0.0,0.0,0.0,'no','yes','yes','no','yes','yes','yes','no',0.75,0.75,0.5,0.0,0.5,1.0,0.2,14,12,11
'GP','m',0.6000000000000001,'U','LE3','T',1.0,1.0,'teacher','teacher','home','mother',0.0,0.0,0.0,'no','yes','yes','no','yes','yes','yes','yes',0.0,0.75,0.25,0.5,0.25,0.0,0.25,16,15,16
'GP','m',0.40000000000000036,'U','LE3','T',1.0,1.0,'other','teacher','home','father',0.3333333333333333,0.0,0.0,'no','no','yes','no','yes','yes','yes','no',0.75,0.0,0.0,0.5,0.25,1.0,0.0,11,11,10
'GP','m',1.0,'U','GT3','A',0.75,0.5,'services','other','course','other',0.0,0.0,0.0,'no','no','no','yes','yes','yes','no','no',1.0,1.0,0.5,0.0,0.0,1.0,0.0,17,18,18
'GP','m',0.6000000000000001,'U','GT3','T',1.0,1.0,'other','other','course','mother',0.0,1.0,0.0,'no','no','no','yes','yes','yes','yes','no',0.75,0.5,0.5,0.5,0.25,0.5,0.15000000000000002,9,12,11
'GP','m',0.40000000000000036,'U','GT3','T',0.75,0.75,'other','services','reputation','mother',0.0,0.0,0.0,'no','no','no','yes','no','yes','yes','no',0.75,0.5,1.0,1.0,1.0,1.0,0.15000000000000002,14,15,16
'GP','m',0.6000000000000001,'U','LE3','T',0.75,1.0,'services','other','home','mother',0.0,0.5,0.0,'no','no','no','yes','yes','yes','yes','yes',0.75,0.5,0.5,0.0,0.5,1.0,0.55,16,15,15
'GP','m',0.6000000000000001,'R','GT3','T',1.0,0.75,'teacher','services','course','mother',0.0,1.0,0.0,'no','no','no','no','yes','yes','yes','yes',1.0,0.5,0.25,0.0,0.25,0.75,0.45,16,15,16
'GP','m',0.6000000000000001,'U','GT3','T',1.0,0.75,'teacher','other','course','mother',0.0,1.0,0.0,'no','yes','yes','no','yes','yes','yes','yes',1.0,0.75,1.0,0.5,0.5,1.0,0.0,10,10,9
'MS','m',0.40000000000000036,'U','GT3','T',0.75,0.75,'health','other','course','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','no','yes','yes','yes','no',0.75,1.0,0.75,0.5,0.5,0.5,0.1,13,13,13
'MS','m',0.40000000000000036,'R','GT3','T',1.0,0.75,'services','other','home','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','yes','no','yes','yes','yes',0.75,1.0,1.0,0.0,0.5,0.25,0.2,13,11,11
'MS','m',0.6000000000000001,'U','LE3','T',0.25,0.25,'other','services','home','father',0.3333333333333333,0.0,0.0,'no','no','no','no','no','yes','yes','yes',0.5,0.5,0.25,0.0,0.25,0.5,0.2,10,10,10
'MS','m',0.6000000000000001,'R','GT3','T',0.25,0.75,'at_home','other','course','mother',0.3333333333333333,0.5,0.0,'no','yes','yes','no','yes','yes','no','no',0.5,0.5,0.75,0.5,0.75,0.5,0.2,10,10,10
'MS','m',0.6000000000000001,'U','LE3','T',1.0,1.0,'teacher','services','other','mother',0.3333333333333333,1.0,0.0,'no','no','yes','no','yes','yes','yes','yes',0.75,0.25,0.25,0.5,0.25,1.0,0.0,13,13,13
'MS','m',0.6000000000000001,'R','LE3','T',0.25,0.5,'at_home','services','other','father',0.6666666666666667,0.0,0.0,'no','yes','yes','yes','yes','no','yes','yes',0.75,0.5,0.5,0.5,0.5,0.5,0.15000000000000002,14,12,12
'MS','m',0.6000000000000001,'U','GT3','T',1.0,1.0,'teacher','teacher','home','father',0.0,0.5,0.0,'no','no','yes','yes','no','yes','yes','no',0.5,0.25,0.75,0.0,0.75,0.25,0.2,15,14,14
'MS','m',0.6000000000000001,'R','GT3','T',0.5,0.25,'other','other','other','mother',0.3333333333333333,0.0,0.0,'no','no','no','yes','no','yes','yes','yes',0.75,0.75,0.5,0.0,0.5,1.0,0.25,7,6,7
'MS','m',0.40000000000000036,'U','GT3','T',0.5,0.75,'other','services','home','father',0.3333333333333333,0.5,0.0,'no','no','no','yes','yes','yes','yes','no',0.75,0.75,0.5,0.0,0.0,0.5,0.1,11,11,10
'MS','m',0.40000000000000036,'U','LE3','T',0.75,0.25,'services','services','course','mother',0.3333333333333333,0.0,0.0,'no','no','no','no','no','yes','yes','no',0.25,0.75,1.0,1.0,0.75,0.25,0.15000000000000002,14,16,16
'MS','m',0.6000000000000001,'R','LE3','T',0.75,0.5,'services','other','course','mother',0.6666666666666667,0.0,0.0,'no','no','no','no','no','yes','yes','no',0.75,0.75,0.0,1.0,0.75,1.0,0.0,11,12,10
'MS','m',0.8000000000000003,'U','LE3','T',0.25,0.25,'other','at_home','course','father',0.0,0.0,0.0,'no','no','no','no','yes','yes','yes','no',0.5,0.25,0.5,1.0,0.5,1.0,0.25,8,9,9
